Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Diphyes Antarctica,1,0,16,3,19,9.87,0.4133,0.0007
Euphausia Superba,1,0,75,87,162,1173.15,0.5896,0.0011
Ampelisca Richardsoni,1,0,59,48,107,79.37,0.5312,0.0009
Abyssorchomene Rossi,1,0,115,48,163,297.19,0.5754,0.0025
Pelagobia Longicirrata,1,0,65,71,136,579.75,0.5638,0.0009
Rhynchonereella Bongraini,1,0,65,19,84,140.36,0.5074,0.0009
Laetmonice Producta,1,0,69,66,135,393.54,0.5476,0.0058
Harmothoe Spinosa,1,0,146,64,210,1598.27,0.6015,0.0127
Harmothoe Crosetensis,1,0,104,64,168,768.2,0.5665,0.0075
Harmotoe Hartmanae,1,0,104,64,168,768.2,0.5665,0.0075
Polyeunoa Laevis,1,0,50,59,109,328.46,0.542,0.0026
Barrukia Cristata,1,0,33,65,98,239.65,0.5174,0.0041
Eulagisca Gigantea,1,0,76,65,141,629.73,0.5566,0.0091
Eunoe Spica,1,0,144,68,212,3667.47,0.6038,0.0162
Eunoe Hartmanae,1,0,87,64,151,503.01,0.5599,0.0061
Eunoe Spica Spicoides,1,0,183,64,247,4024.2,0.6343,0.0173
Vanadis Antarctica,1,0,75,64,139,639.85,0.5592,0.001
Pista Spinifera,1,0,0,64,64,0.0,0.5069,0.0005
Phyllocomus Crocea,1,0,0,64,64,0.0,0.5069,0.0005
Terebella Ehlersi,1,0,0,64,64,0.0,0.5069,0.0005
Eucranta Mollis,1,0,0,67,67,0.0,0.5085,0.0005
Cinachyra Antarctica,1,0,0,43,43,0.0,0.4882,0.0005
Cinachyra Barbata,1,0,0,42,42,0.0,0.4877,0.0005
Bathydorus Spinosus,1,0,0,42,42,0.0,0.4877,0.0005
Iophon Radiatus,1,0,0,42,42,0.0,0.4877,0.0005
Kirkpatrickia Variolosa,1,0,0,45,45,0.0,0.4892,0.0005
Rossella Racovitzae,1,0,0,47,47,0.0,0.4902,0.0005
Stylocordyla Borealis,1,0,0,42,42,0.0,0.4877,0.0005
Homaxinella Balfourensis,1,0,0,46,46,0.0,0.4897,0.0005
Scolymastra Joubini,1,0,0,43,43,0.0,0.4882,0.0005
Latrunculia Apicalis,1,0,0,42,42,0.0,0.4877,0.0005
Latrunculia Brevis,1,0,0,42,42,0.0,0.4877,0.0005
Tetilla Leptoderma,1,0,0,48,48,0.0,0.4907,0.0005
Haliclona Dancoi,1,0,0,46,46,0.0,0.4897,0.0005
Mycale Acerata,1,0,0,43,43,0.0,0.4882,0.0005
Rossella Antarctica,1,0,0,42,42,0.0,0.4877,0.0005
Rossella Tarenja,1,0,0,42,42,0.0,0.4877,0.0005
Haliclona Tenella,1,0,0,46,46,0.0,0.4897,0.0005
Clathria Pauper,1,0,0,42,42,0.0,0.4877,0.0005
Calyx Arcuarius,1,0,0,43,43,0.0,0.4882,0.0005
Isodyctia Toxophila,1,0,0,42,42,0.0,0.4877,0.0005
Isodyctia Cavicornuta,1,0,0,42,42,0.0,0.4877,0.0005
Isodyctia Steifera,1,0,0,43,43,0.0,0.4882,0.0005
Axociella Nidificata,1,0,0,42,42,0.0,0.4877,0.0005
Rossella Nuda,1,0,0,44,44,0.0,0.4887,0.0005
Tentorium Papillatum,1,0,0,42,42,0.0,0.4877,0.0005
Tentorium Semisuberites,1,0,0,42,42,0.0,0.4877,0.0005
Tedania Oxeata,1,0,0,42,42,0.0,0.4877,0.0005
Tedania Tantulata,1,0,0,42,42,0.0,0.4877,0.0005
Tedania Vanhoeffeni,1,0,0,42,42,0.0,0.4877,0.0005
Phorbas Areolatus,1,0,0,42,42,0.0,0.4877,0.0005
Phorbas Glaberrima,1,0,0,42,42,0.0,0.4877,0.0005
Polymastia Invaginata,1,0,0,43,43,0.0,0.4882,0.0005
Polymastia Isidis,1,0,0,42,42,0.0,0.4877,0.0005
Anoxycalyx Joubini,1,0,0,47,47,0.0,0.4902,0.0005
Abyssorchomene Plebs,1,0,63,43,106,107.62,0.5366,0.0009
Abyssorchomene Nodimanus,1,0,88,48,136,3232.74,0.5592,0.0118
Mesothuria Lactea,1,0,0,15,15,0.0,0.4539,0.0005
Achlyonice Violaecuspidata,1,0,0,15,15,0.0,0.4539,0.0005
