Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Tylosurus Crocodilus Crocodilus,1,0,5,7,12,6.38,0.5124,0.002
Myripristis Jacobus,1,0,0,16,16,0.0,0.5202,0.0016
Ophioblennius Atlanticus,1,0,0,16,16,0.0,0.5176,0.0016
Hypoplectrus Aberrans,1,0,4,10,14,3.32,0.515,0.002
Hypoplectrus Chlorurus,1,0,4,10,14,3.32,0.515,0.002
Hypoplectrus Puella,1,0,4,11,15,6.82,0.5163,0.002
Pseudupeneus Maculatus,1,0,2,17,19,17.87,0.5242,0.0019
Scartella Cristata,1,0,0,14,14,0.0,0.5137,0.0016
Sparisoma Aurofrenatum,1,0,1,21,22,5.28,0.5282,0.0017
Anchoa Hepsetus,1,0,0,22,22,0.0,0.5282,0.0016
Strongylura Timucu,1,0,3,13,16,1.6,0.5202,0.0018
Bodianus Rufus,1,0,0,5,5,0.0,0.5037,0.0016
Cantherhines Pullus,1,0,0,17,17,0.0,0.5215,0.0016
Euthynnus Alletteratus,1,0,9,7,16,13.04,0.5202,0.0024
Haemulon Chrysargyreum,1,0,1,18,19,2.36,0.5242,0.0017
Rhizoprionodon Porosus,1,0,99,5,104,32.08,0.6667,0.0133
Harengula Humeralis,1,0,0,20,20,0.0,0.5255,0.0016
Megalops Atlanticus,1,0,2,3,5,0.17,0.464,0.0017
Ocyurus Chrysurus,1,0,1,7,8,1.06,0.5086,0.0016
Hypoplectrus Nigricans,1,0,4,11,15,5.32,0.5176,0.002
Scorpaena Brasiliensis,1,0,0,4,4,0.0,0.5024,0.0016
Bothus Lunatus,1,0,4,3,7,0.26,0.5061,0.0019
Synodus Synodus,1,0,0,13,13,0.0,0.5163,0.0016
Halichoeres Maculipinna,1,0,1,11,12,2.26,0.5112,0.0017
Entomacrodus Nigricans,1,0,0,8,8,0.0,0.5049,0.0016
Oligoplites Saurus,1,0,1,15,16,0.56,0.5202,0.0016
Scarus Iserti,1,0,0,20,20,0.0,0.5255,0.0016
Sparisoma Radians,1,0,0,22,22,0.0,0.5282,0.0016
Aluterus Scripta,1,0,0,4,4,0.0,0.5024,0.0016
Cantherhines Macrocerus,1,0,0,4,4,0.0,0.5024,0.0016
Chaetodon Striatus,1,0,0,10,10,0.0,0.5124,0.0016
Halichoeres Bivittatus,1,0,0,13,13,0.0,0.5163,0.0016
Halichoeres Poeyi,1,0,1,6,7,1.55,0.5074,0.0017
Rypticus Saponaceus,1,0,5,10,15,17.11,0.5189,0.0028
Harengula Clupeola,1,0,0,20,20,0.0,0.5255,0.0016
Paranthias Furcifer,1,0,0,10,10,0.0,0.5112,0.0016
Stegastes Fuscus,1,0,0,15,15,0.0,0.5189,0.0016
Abudefduf Tauru,1,0,0,10,10,0.0,0.5124,0.0016
Anisotremus Virginicus,1,0,1,10,11,0.74,0.5137,0.0017
Chaetodon Capistratus,1,0,0,10,10,0.0,0.5124,0.0016
Chaetodon Sedentarius,1,0,0,10,10,0.0,0.5124,0.0016
Labrisomus Nuchipinnis,1,0,0,8,8,0.0,0.5049,0.0016
Melichthys Niger,1,0,0,12,12,0.0,0.515,0.0016
Parablennius Marmoreus,1,0,0,16,16,0.0,0.5202,0.0016
Sphyrna Tiburo,1,0,100,5,105,32.71,0.6688,0.0135
Aluterus Schoepfii,1,0,0,4,4,0.0,0.5024,0.0016
Mulloidichthys Martinicus,1,0,1,12,13,2.47,0.5163,0.0017
Neoniphon Marianus,1,0,0,14,14,0.0,0.5176,0.0016
