Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Hormathia Nodosa,1,0,0,10,10,0.0,0.3466,0.0015
Ptilota Gunneri,1,0,0,12,12,0.0,0.3383,0.0015
Pylaiella Littoralis,1,0,0,12,12,0.0,0.3383,0.0015
Devaleraea Ramentacea,1,0,0,12,12,0.0,0.3383,0.0015
Alaria Esculenta,1,0,0,12,12,0.0,0.3383,0.0015
Fimbrifolium Dichotomum,1,0,0,12,12,0.0,0.3383,0.0015
Turnerella Pennyi,1,0,0,12,12,0.0,0.3383,0.0015
Chordaria Flagelliformis,1,0,0,12,12,0.0,0.3383,0.0015
Desmarestia Aculeata,1,0,0,12,12,0.0,0.3383,0.0015
Calidris Maritima,1,0,3,0,3,0.0,0.3038,0.0024
Cepphus Grylle,1,0,1,0,1,0.0,0.2966,0.0019
Harmothoe Imbricata,1,0,3,8,11,5.76,0.3773,0.0019
Tonicella Marmorea,1,0,16,1,17,3.25,0.3152,0.003
Gattyana Cirrhosa,1,0,6,3,9,11.19,0.3565,0.0027
Tonicella Rubra,1,0,16,1,17,3.25,0.3152,0.003
Cossura Longocirrata,1,0,0,3,3,0.0,0.3482,0.0015
Thelepus Cincinnatus,1,0,0,2,2,0.0,0.3461,0.0015
Boreacola Maltzani,1,0,0,2,2,0.0,0.3504,0.0015
Terebellides Stroemi,1,0,0,3,3,0.0,0.3482,0.0015
Halicryptus Spinulosus,1,0,0,3,3,0.0,0.2931,0.0015
Glycera Capitata,1,0,2,6,8,3.17,0.3883,0.0017
Scoletoma Fragilis,1,0,0,3,3,0.0,0.3482,0.0015
Diplocirrus Hirsutus,1,0,0,3,3,0.0,0.3482,0.0015
Diplodonta Torelli,1,0,0,2,2,0.0,0.3504,0.0015
Prionospio Cirrifera,1,0,0,3,3,0.0,0.3482,0.0015
Sabellides Octocirrata,1,0,0,3,3,0.0,0.3482,0.0015
Samytha Sexcirrata,1,0,0,3,3,0.0,0.3482,0.0015
Scoloplos Armiger,1,0,0,3,3,0.0,0.3482,0.0015
Axinopsida Orbiculata,1,0,0,2,2,0.0,0.3504,0.0015
Ciliatocardium Ciliatum,1,0,0,2,2,0.0,0.3504,0.0015
Bylgides Elegans,1,0,0,3,3,0.0,0.3482,0.0015
Brada Inhabilis,1,0,0,2,2,0.0,0.3461,0.0015
Bylgides Groenlandica,1,0,0,3,3,0.0,0.3482,0.0015
Brada Villosa,1,0,0,2,2,0.0,0.3461,0.0015
Capitella Capitata,1,0,0,3,3,0.0,0.3482,0.0015
Dephinapterus Leucas,1,0,3,0,3,0.0,0.3038,0.0024
Erginus Rubellus,1,0,16,1,17,4.98,0.344,0.003
Erignathus Barbatus,1,0,5,1,6,3.65,0.317,0.0032
Mya Truncata,1,0,0,4,4,0.0,0.2659,0.0015
Nuculana Minuta,1,0,0,3,3,0.0,0.3188,0.0015
Littorina Saxatilis,1,0,16,3,19,58.0,0.3409,0.003
Eualus Gaimardi,1,0,3,1,4,2.73,0.385,0.0035
Semibalanus Balanoides,1,0,0,2,2,0.0,0.3242,0.0015
Balanus Balanus,1,0,0,2,2,0.0,0.3242,0.0015
Eumicrotremus Derjugini,1,0,2,0,2,0.0,0.3092,0.0021
Lebbeus Polaris,1,0,19,12,31,165.26,0.4423,0.0056
Fulmarus Glacialis,1,0,24,0,24,0.0,0.4669,0.077
Gymnocanthus Tricuspis,1,0,13,3,16,12.45,0.4079,0.013
Myoxocephalus Scorpius,1,0,22,3,25,16.81,0.5056,0.0246
Spirontocaris Spinus,1,0,14,9,23,71.13,0.4209,0.0043
Sclerocrangon Boreas,1,0,14,7,21,56.21,0.3857,0.0043
Mertensia Ovum,1,0,15,4,19,21.91,0.3924,0.0077
Boremysis Arctica,1,0,0,3,3,0.0,0.3645,0.0015
Boreomysis Arctica,1,0,0,4,4,0.0,0.3792,0.0015
Stilomysis Grandis,1,0,0,2,2,0.0,0.3651,0.0015
Paroediceros Lynceus,1,0,12,2,14,15.4,0.4072,0.006
Gammarus Setosus,1,0,5,2,7,29.78,0.3944,0.0028
Pleustes Panoplus,1,0,8,2,10,12.4,0.4072,0.0045
Caprella Septentrionalis,1,0,0,1,1,0.0,0.3633,0.0015
Eryhtrops Erythrophthalma,1,0,0,1,1,0.0,0.3633,0.0015
Themisto Libellula,1,0,0,3,3,0.0,0.3645,0.0015
Anonyx Sarsi,1,0,0,1,1,0.0,0.3633,0.0015
Mysis Oculata,1,0,0,1,1,0.0,0.3633,0.0015
Parapleustes Assimilis,1,0,6,1,7,0.51,0.389,0.0025
Parapleustes Monocuspis,1,0,4,2,6,2.43,0.3897,0.002
Pleusymtes Glabroides,1,0,0,2,2,0.0,0.3651,0.0015
Spirontocaris Turgida,1,0,0,2,2,0.0,0.3651,0.0015
Melita Palmata,1,0,0,2,2,0.0,0.3717,0.0015
Themisto Abyssorum,1,0,0,3,3,0.0,0.3645,0.0015
Gammarellus Homari,1,0,0,1,1,0.0,0.3633,0.0015
Onisimus Littoralis,1,0,0,1,1,0.0,0.3633,0.0015
Anonyx Nugax,1,0,0,1,1,0.0,0.3633,0.0015
Diastylis Goodsiri,1,0,0,5,5,0.0,0.3736,0.0015
Diastylis Lucifera,1,0,0,5,5,0.0,0.3736,0.0015
Melita Dentata,1,0,0,2,2,0.0,0.3717,0.0015
Monoculodes Borealis,1,0,0,1,1,0.0,0.3633,0.0015
Onisimus Caricus,1,0,0,1,1,0.0,0.3633,0.0015
Onisimus Edwardsi,1,0,0,1,1,0.0,0.3633,0.0015
Parapleustes Bicuspis,1,0,8,2,10,3.43,0.3924,0.0033
Rhachotropis Inflata,1,0,0,2,2,0.0,0.3651,0.0015
Arrhis Phyllonyx,1,0,0,1,1,0.0,0.3633,0.0015
Diastylis Rathkii,1,0,0,5,5,0.0,0.3736,0.0015
Halirages Fulvocinctus,1,0,0,1,1,0.0,0.3633,0.0015
