
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
USA

Grafo carregado: 585 espécies, 13895 interações
Espécies basais (grau de entrada=0): 313
Robustez Inicial: 1.0000
81. Ankistrodesmus Falcatus                            ->   1 extinções | Robustez Final: 0.9983
82. Leptodora Kindtii                                  ->   1 extinções | Robustez Final: 0.9983
83. Salmo Rutta                                        ->   1 extinções | Robustez Final: 0.9983
84. Catostomus Commersoni                              ->   1 extinções | Robustez Final: 0.9983
85. Lepomis Gibbosus                                   ->   1 extinções | Robustez Final: 0.9983
86. Keratella Cochlearis                               ->   1 extinções | Robustez Final: 0.9983
87. Keratella Testudo                                  ->   1 extinções | Robustez Final: 0.9983
88. Daphnia Longiremis                                 ->   1 extinções | Robustez Final: 0.9983
89. Spondylosium Planum                                ->   1 extinções | Robustez Final: 0.9983
90. Chrysosphaerella Longispina                        ->   1 extinções | Robustez Final: 0.9983
91. Dictyosphaerium Pulchellum                         ->   1 extinções | Robustez Final: 0.9983
92. Polyarthra Euryptera                               ->   1 extinções | Robustez Final: 0.9983
93. Crucigenia Quadrata                                ->   1 extinções | Robustez Final: 0.9983
94. Colletheca Mutabilis                               ->   1 extinções | Robustez Final: 0.9983
95. Salvelinus Namaycush                               ->   1 extinções | Robustez Final: 0.9983
96. Salvelinus Fontinalis Small                        ->   1 extinções | Robustez Final: 0.9983
97. Salvelinus Fontinalis Large                        ->   1 extinções | Robustez Final: 0.9983
98. Asterionella Formosa                               ->   1 extinções | Robustez Final: 0.9983
99. Alona Costata                                      ->   1 extinções | Robustez Final: 0.9983
100. Trichocerca Pusilla                                ->   1 extinções | Robustez Final: 0.9983
101. Rhizosolenia Eriensis                              ->   1 extinções | Robustez Final: 0.9983
102. Daphnia Dubia                                      ->   1 extinções | Robustez Final: 0.9983
103. Daphnia Retrocurva                                 ->   1 extinções | Robustez Final: 0.9983
104. Crucigenia Crucifera                               ->   1 extinções | Robustez Final: 0.9983
105. Crucigenia Rectangularis                           ->   1 extinções | Robustez Final: 0.9983
106. Anacystis Incerta                                  ->   1 extinções | Robustez Final: 0.9983
107. Luxilus Cornutus                                   ->   1 extinções | Robustez Final: 0.9983
108. Trichotria Tetractis                               ->   1 extinções | Robustez Final: 0.9983
109. Diaptomus Leptopus                                 ->   1 extinções | Robustez Final: 0.9983
110. Alona Quadrangularis                               ->   1 extinções | Robustez Final: 0.9983
111. Conochiloides Hippocrepis                          ->   1 extinções | Robustez Final: 0.9983
112. Perca Flavescens                                   ->   1 extinções | Robustez Final: 0.9983
113. Keratella Serrulata                                ->   1 extinções | Robustez Final: 0.9983
114. Coelastrum Cambricum                               ->   1 extinções | Robustez Final: 0.9983
115. Diaptomus Sicilis                                  ->   1 extinções | Robustez Final: 0.9983
116. Daphnia Ambigua                                    ->   1 extinções | Robustez Final: 0.9983
117. Daphnia Parvula                                    ->   1 extinções | Robustez Final: 0.9983
118. Eucyclops Agilis                                   ->   1 extinções | Robustez Final: 0.9983
119. Ambloplites Rupestris                              ->   1 extinções | Robustez Final: 0.9983
120. Fragilaria Crotonensis                             ->   1 extinções | Robustez Final: 0.9983
121. Daphnia Galeata                                    ->   1 extinções | Robustez Final: 0.9983
122. Tabellaria Flocculosa                              ->   1 extinções | Robustez Final: 0.9983
123. Fundulus Diaphanus                                 ->   1 extinções | Robustez Final: 0.9983
124. Pimephales Notatus                                 ->   1 extinções | Robustez Final: 0.9983
125. Peridinium Cinctum                                 ->   1 extinções | Robustez Final: 0.9983
126. Cyclops Scutifer                                   ->   1 extinções | Robustez Final: 0.9983
127. Cyclops Bicuspidatus                               ->   1 extinções | Robustez Final: 0.9983
128. Polyphemus Pediculus                               ->   1 extinções | Robustez Final: 0.9983
129. Acroperus Harpae                                   ->   1 extinções | Robustez Final: 0.9983
130. Alona Rectangula                                   ->   1 extinções | Robustez Final: 0.9983
131. Dinobryon Divergens                                ->   1 extinções | Robustez Final: 0.9983
132. Sida Crystallina                                   ->   1 extinções | Robustez Final: 0.9983
133. Xanthidium Armatum                                 ->   1 extinções | Robustez Final: 0.9983
134. Fragilaria Intermedia                              ->   1 extinções | Robustez Final: 0.9983
135. Staurastrum Megacanthum                            ->   1 extinções | Robustez Final: 0.9983
136. Arthrodesmus Octocornis                            ->   1 extinções | Robustez Final: 0.9983
137. Scenedesmus Serratus                               ->   1 extinções | Robustez Final: 0.9983
138. Synedra Nana                                       ->   1 extinções | Robustez Final: 0.9983
139. Gastropus Hyptopus                                 ->   1 extinções | Robustez Final: 0.9983
140. Coelosphaerium Pallidum                            ->   1 extinções | Robustez Final: 0.9983
141. Anabaena Flos-Aquae                                ->   1 extinções | Robustez Final: 0.9983
142. Coregonus Clupeaformis                             ->   1 extinções | Robustez Final: 0.9983
143. Micropterus Salmoides                              ->   1 extinções | Robustez Final: 0.9983
144. Prosopium Cylindraceum                             ->   1 extinções | Robustez Final: 0.9983
145. Micropterus Dolomieui                              ->   1 extinções | Robustez Final: 0.9983
146. Coregonus Artedii                                  ->   1 extinções | Robustez Final: 0.9983
147. Semotilus Corporalis                               ->   1 extinções | Robustez Final: 0.9983
148. Osmerus Mordax                                     ->   1 extinções | Robustez Final: 0.9983
149. Rhinichthys Atratulus                              ->   1 extinções | Robustez Final: 0.9983
150. Oncorhynchus Mykiss                                ->   1 extinções | Robustez Final: 0.9983
151. Chlamydomonas Sp.                                  ->   1 extinções | Robustez Final: 0.9983
152. Lepadella Cristata                                 ->   1 extinções | Robustez Final: 0.9983
153. Euchlanis Calpidia                                 ->   1 extinções | Robustez Final: 0.9983
154. Euglena Acus                                       ->   1 extinções | Robustez Final: 0.9983
155. Synedra Ulna                                       ->   1 extinções | Robustez Final: 0.9983
156. Euchlanis Triquetra                                ->   1 extinções | Robustez Final: 0.9983
157. Pimephales Promelas                                ->   1 extinções | Robustez Final: 0.9983
158. Scenedesmus Arcuatus                               ->   1 extinções | Robustez Final: 0.9983
159. Lecane Mira                                        ->   1 extinções | Robustez Final: 0.9983
160. Rhabdoderma Gorksii                                ->   1 extinções | Robustez Final: 0.9983
161. Trichocerca Porcellus                              ->   1 extinções | Robustez Final: 0.9983
162. Lepadella Triptera                                 ->   1 extinções | Robustez Final: 0.9983
163. Loligo Pealei                                      ->   1 extinções | Robustez Final: 0.9983
164. Limulus Polyphemus                                 ->   1 extinções | Robustez Final: 0.9983
165. Lolliguncula Brevis                                ->   1 extinções | Robustez Final: 0.9983
166. Illex Illecebrosus                                 ->   1 extinções | Robustez Final: 0.9983
167. Acteocina Canaliculata                             ->   1 extinções | Robustez Final: 0.9983
168. Acteon Punctostriatus                              ->   1 extinções | Robustez Final: 0.9983
169. Bittiolum Varium                                   ->   1 extinções | Robustez Final: 0.9983
