Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Gitana Sarsi,1,0,10,15,25,10.31,0.4771,0.0012
Iphimedia Minuta,1,0,21,15,36,112.35,0.4861,0.0029
Iphimedia Nexa,1,0,21,15,36,112.35,0.4861,0.0029
Iphimedia Perplexa,1,0,21,15,36,112.35,0.4861,0.0029
Corophium Acutum,1,0,4,16,20,26.13,0.4651,0.0013
Pseudoprotella Phasma,1,0,1,15,16,2.92,0.4744,0.0011
Hyperia Galba,1,0,10,16,26,12.13,0.4805,0.0012
Caryophyllia Smithii,1,0,10,1,11,9.9,0.3712,0.0012
Anthopleura Ballii,1,0,12,1,13,13.5,0.3797,0.0013
Gobiusculus Flavescens,1,0,18,15,33,282.88,0.4619,0.0016
Metridium Senile,1,0,11,1,12,5.5,0.3725,0.0013
Bougainvillea Ramosa,1,0,10,2,12,5.0,0.3612,0.0012
Turbularia Indivisa,1,0,10,3,13,31.65,0.3692,0.0012
Cordylophora Caspia,1,0,10,2,12,6.69,0.3784,0.0012
Corynactis Viridis,1,0,0,2,2,0.0,0.3405,0.0011
Dicata Odhneri,1,0,8,8,16,172.47,0.4116,0.0068
Calycella Syringa,1,0,0,3,3,0.0,0.4002,0.0011
Lovenella Producta,1,0,0,1,1,0.0,0.2918,0.0011
Obelia Geniculata,1,0,0,2,2,0.0,0.3469,0.0011
Plumularia Setacea,1,0,0,1,1,0.0,0.2918,0.0011
Archidoris Pseudoargus,1,0,2,8,10,7.82,0.4046,0.0012
Limacia Clavigeria,1,0,1,10,11,54.95,0.4168,0.0012
Polycera Quadrilineata,1,0,1,9,10,59.19,0.4081,0.0013
Elminius Modestus,1,0,0,9,9,0.0,0.3913,0.0011
Onchidoris Bilamellata,1,0,3,9,12,29.38,0.4142,0.0013
Semibalanus Balanoides,1,0,10,14,24,75.83,0.4778,0.0012
Verruca Stroemia,1,0,0,8,8,0.0,0.3899,0.0011
Coryphella Pellucida,1,0,2,9,11,64.01,0.4091,0.0016
Coryphella Pedata,1,0,1,8,9,5.91,0.4036,0.0012
Acanthodoris Pilosa,1,0,1,8,9,5.91,0.4036,0.0012
Adalaria Proximata,1,0,1,8,9,7.72,0.4036,0.0012
Littorina Littorea,1,0,30,20,50,330.55,0.4897,0.0021
Mytilus Edulis,1,0,25,30,55,530.28,0.5195,0.0023
Palaemon Serratus,1,0,13,54,67,259.8,0.5236,0.0014
Crangon Crangon,1,0,35,54,89,851.38,0.5397,0.0022
Pecten Maximus,1,0,4,17,21,15.99,0.4488,0.0013
Cerastoderma Edule,1,0,5,16,21,17.47,0.4638,0.0013
Chthamalus Stellatus,1,0,4,14,18,22.32,0.4651,0.0013
Ocenebra Erinacea,1,0,8,8,16,0.0,0.4336,0.0017
Patella Vulgata,1,0,0,15,15,0.0,0.4189,0.0011
Akera Bullata,1,0,30,10,40,70.55,0.444,0.0021
Anomia Ephippium,1,0,4,15,19,20.66,0.4258,0.0013
Cerithiopsis Tubercularis,1,0,21,8,29,122.89,0.4242,0.0029
Pagurus Bernhardus,1,0,0,12,12,0.0,0.4336,0.0011
Hinia Incrassata,1,0,2,9,11,54.85,0.4081,0.0013
Pagurus Prideauxi,1,0,0,5,5,0.0,0.4221,0.0011
Helcion Pellucidum,1,0,30,8,38,43.55,0.4393,0.0021
Littorina Saxatilis,1,0,0,14,14,0.0,0.4488,0.0011
Lepsiella Albomarginata,1,0,7,8,15,0.0,0.4313,0.0015
Littorina Obtusata,1,0,0,14,14,0.0,0.4488,0.0011
Littorina Neritoides,1,0,0,14,14,0.0,0.4488,0.0011
Abra Alba,1,0,4,9,13,7.07,0.4126,0.0013
Aphrodite Aculeata,1,0,15,36,51,84.47,0.5107,0.0016
Spirobis Cuneatus,1,0,0,38,38,0.0,0.4933,0.0011
Spirobis Spirobis,1,0,0,41,41,0.0,0.5053,0.0011
Circeis Armoricana,1,0,1,38,39,0.0,0.4941,0.0011
Janua Pagenstecheri,1,0,0,38,38,0.0,0.4933,0.0011
Lumbrinereis,1,0,14,40,54,27.87,0.5123,0.0014
Hediste Diversicolor,1,0,4,45,49,114.95,0.5115,0.0013
Nereis Virens,1,0,5,40,45,1471.06,0.5123,0.0015
Lanice Conchilega,1,0,0,38,38,0.0,0.4933,0.0011
Eumida Sanguinea,1,0,1,38,39,0.0,0.4941,0.0011
Eulalia Virdis,1,0,0,38,38,0.0,0.4933,0.0011
Cirratulus Cirratus,1,0,0,38,38,0.0,0.4933,0.0011
Ophiothrix Fragilis,1,0,4,29,33,51.1,0.4963,0.0013
Carcinus Maenas,1,0,11,25,36,2437.67,0.5053,0.0023
Anemonia Sulcata,1,0,13,0,13,0.0,0.3793,0.0014
Marthasterias Glacialis,1,0,25,19,44,2178.57,0.4883,0.0041
Venus Fasciata,1,0,0,10,10,0.0,0.4126,0.0011
Venus Striatula,1,0,0,9,9,0.0,0.4061,0.0011
Asterina Gibbosa,1,0,38,14,52,254.84,0.4933,0.003
Paracentrotus Lividus,1,0,30,17,47,250.74,0.4791,0.0021
Cancer Pagurus,1,0,7,14,21,1218.4,0.4854,0.0033
Necora Puber,1,0,8,11,19,77.04,0.4574,0.0018
Xantho Incisus,1,0,2,7,9,4.54,0.4313,0.0012
Liocarcinus Depurator,1,0,16,11,27,189.39,0.4631,0.0015
Liocarcinus Arcuatus,1,0,39,7,46,79.25,0.4833,0.0025
Asterina Phylactica,1,0,0,14,14,0.0,0.4593,0.0011
Asterias Rubens,1,0,10,14,24,188.3,0.4819,0.0018
Henricia Oculata,1,0,22,12,34,995.1,0.4677,0.0033
Luidia Ciliaris,1,0,2,12,14,2.31,0.4506,0.0013
Aslia Lefevrei,1,0,4,2,6,1.7,0.4031,0.0013
Echinus Esculentus,1,0,55,5,60,1361.63,0.4791,0.0096
Bugula Flabellata,1,0,0,3,3,0.0,0.396,0.0011
Callopora Auriata,1,0,0,3,3,0.0,0.396,0.0011
Callopora Craticula,1,0,0,3,3,0.0,0.396,0.0011
Callopora Dumerlii,1,0,0,3,3,0.0,0.396,0.0011
Callopora Lineata,1,0,0,3,3,0.0,0.396,0.0011
Callophora Rylandi,1,0,0,3,3,0.0,0.396,0.0011
Celleporella Hyalina,1,0,0,3,3,0.0,0.396,0.0011
Chorizopora Brongniartii,1,0,0,3,3,0.0,0.396,0.0011
Cribrilina Cryptooecium,1,0,0,3,3,0.0,0.396,0.0011
Cribrilina Punctata,1,0,0,3,3,0.0,0.396,0.0011
Escharella Ventricosa,1,0,0,3,3,0.0,0.396,0.0011
Schizoporella Unicornis,1,0,0,3,3,0.0,0.396,0.0011
Scrupocellaria Reptans,1,0,0,3,3,0.0,0.396,0.0011
Smittoidea Amplissima,1,0,0,3,3,0.0,0.396,0.0011
Umbonua Ovicellata,1,0,0,3,3,0.0,0.396,0.0011
Crisia Denticula,1,0,0,3,3,0.0,0.396,0.0011
Disporella Hispida,1,0,0,3,3,0.0,0.396,0.0011
Filicrisia Geniculata,1,0,0,3,3,0.0,0.396,0.0011
Psammechinus Miliaris,1,0,74,6,80,394.26,0.5171,0.01
Homarus Gammarus,1,0,11,7,18,83.73,0.4757,0.0024
Maja Squinado,1,0,77,6,83,102.56,0.555,0.0054
Pandalus Montagui,1,0,23,8,31,140.55,0.4697,0.0036
Botrylloides Leachii,1,0,0,6,6,0.0,0.4142,0.0011
Hyas Araneus,1,0,20,6,26,129.21,0.4826,0.0053
Botryllus Schlosseri,1,0,0,6,6,0.0,0.4142,0.0011
Lissoclinum Perforatum,1,0,0,6,6,0.0,0.4142,0.0011
Echinocardium Cordatum,1,0,0,3,3,0.0,0.3832,0.0011
Hyas Coarctatus,1,0,20,4,24,75.49,0.4784,0.0053
Liocarcinus Corrugatus,1,0,11,6,17,24.45,0.4638,0.0018
Nephrops Norvegicus,1,0,21,8,29,35.87,0.467,0.0017
Gammarus Insensiblis,1,0,0,31,31,0.0,0.4791,0.0011
Gammarus Salinus,1,0,0,31,31,0.0,0.4791,0.0011
Galathea Strigosa,1,0,45,7,52,51.31,0.4778,0.0024
Sardina Pilchardus,1,0,47,2,49,20.08,0.4237,0.0025
Squatina Squatina,1,0,66,0,66,0.0,0.5311,0.1623
Zeus Faber,1,0,11,1,12,0.43,0.4336,0.0046
Cepola Macrophthalma,1,0,67,1,68,4.15,0.4677,0.0052
Belone Belone,1,0,14,1,15,0.57,0.3936,0.0013
Scomber Scombrus,1,0,22,2,24,4.36,0.4137,0.0021
Parablennius Gattorugine,1,0,69,1,70,14.05,0.4512,0.0048
Ammodytes Tobianus,1,0,13,24,37,36.62,0.4826,0.0013
Entelurus Aequoreus,1,0,13,1,14,0.53,0.3969,0.0013
Gaidropsarus Mediterraneus,1,0,87,4,91,1046.8,0.5092,0.0059
Lepadogaster Candolii,1,0,12,2,14,0.39,0.3797,0.0014
Balistes Carolinensis,1,0,92,1,93,8.65,0.5294,0.0101
Gobius Niger,1,0,18,12,30,1440.69,0.4518,0.0019
Gobius Paganellus,1,0,22,10,32,394.95,0.4524,0.0017
Taurulus Bubalis,1,0,23,3,26,9.45,0.447,0.0017
Callionymus Lyra,1,0,17,13,30,118.09,0.4524,0.0015
Gobius Couchi,1,0,34,6,40,47.3,0.4376,0.0022
Aphia Minuta,1,0,16,9,25,40.42,0.4494,0.0016
Lesueurigobius Friesii,1,0,13,6,19,5.21,0.4258,0.0014
Crystallogobius Linearis,1,0,10,7,17,10.09,0.4308,0.0012
Gobius Cruentatus,1,0,20,6,26,188.51,0.4537,0.0023
Thorogobius Ephippiatus,1,0,52,6,58,61.67,0.4606,0.0028
Conger Conger,1,0,42,2,44,23.5,0.484,0.0197
Spinachia Spinachia,1,0,15,6,21,14.0,0.4387,0.0014
Trisopterus Minutus,1,0,26,11,37,1458.81,0.4812,0.0048
Gaidropsarus Vulgaris,1,0,21,3,24,13.14,0.4194,0.0019
Labrus Bergylta,1,0,132,2,134,116.07,0.5842,0.0163
Labrus Mixtus,1,0,45,2,47,55.38,0.4638,0.0069
Centrolabrus Exoletus,1,0,19,2,21,51.48,0.4347,0.0065
Pollachius Pollachius,1,0,39,3,42,16.06,0.4644,0.0028
Scyliorhinus Canicula,1,0,23,3,26,14.4,0.4488,0.0041
Scyliorhinus Stellaris,1,0,7,1,8,0.0,0.4242,0.0104
Ctenolabrus Rupestris,1,0,36,2,38,21.95,0.4452,0.0041
Symphodus Melops,1,0,55,1,56,13.1,0.473,0.0062
Salmo Trutta,1,0,27,2,29,14.1,0.4163,0.0026
Anguilla Anguilla,1,0,26,3,29,164.03,0.4737,0.0167
Molva Molva,1,0,52,2,54,38.49,0.5147,0.0147
Lipophrys Pholis,1,0,35,2,37,7.53,0.4163,0.0022
Coryphoblennius Galerita,1,0,57,3,60,28.55,0.4778,0.0052
Pagellus Bogaraveo,1,0,67,3,70,35.63,0.4537,0.0055
Solea Solea,1,0,136,8,144,418.61,0.6099,0.0155
Microstomus Kitt,1,0,23,7,30,26.81,0.4847,0.0025
Platichthys Flesus,1,0,52,6,58,77.82,0.4791,0.006
Pleuronectes Platessa,1,0,55,9,64,346.7,0.5211,0.0064
Limanda Limanda,1,0,117,8,125,412.82,0.6022,0.013
Arnoglossus Laterna,1,0,83,2,85,49.78,0.5076,0.008
Phrynorhombus Norvegicus,1,0,22,2,24,61.14,0.4422,0.0033
Zeugopterus Punctatus,1,0,63,1,64,3.61,0.4677,0.0068
Pholis Gunnellus,1,0,100,5,105,242.02,0.5616,0.0096
Chelon Labrosus,1,0,88,1,89,7.24,0.4778,0.0061
Atherina Presbyter,1,0,15,1,16,1.81,0.3859,0.0015
Eutrigla Gurnardus,1,0,52,1,53,4.44,0.5107,0.0231
Myoxocephalus Scorpius,1,0,16,2,18,19.25,0.447,0.0107
Cyclopterus Lumpus,1,0,56,1,57,4.46,0.4537,0.0039
Liparis Montagui,1,0,7,1,8,0.22,0.3895,0.0013
Hyperoplus Lanceolatus,1,0,14,20,34,102.75,0.4717,0.0015
Hyperoplus Immaculatus,1,0,5,20,25,87.38,0.458,0.0014
Mullus Surmuletus,1,0,134,2,136,42.48,0.5781,0.0132
Trachurus Trachurus,1,0,122,4,126,280.15,0.5587,0.0091
Ciliata Mustela,1,0,24,2,26,3.76,0.4189,0.0018
Trisopterus Luscus,1,0,24,5,29,6.81,0.4393,0.0019
Pollachius Virens,1,0,79,4,83,64.28,0.5328,0.0072
Merlangius Merlangius,1,0,77,9,86,455.95,0.5195,0.0127
Gadhus Morhua,1,0,109,6,115,652.0,0.5925,0.0299
Psetta Maxima,1,0,58,1,59,4.15,0.4883,0.0079
Scophthalmus Rhombus,1,0,5,1,6,0.15,0.3908,0.0015
Jassa Falcata,1,0,0,15,15,0.0,0.4568,0.0011
Parajassa Pelagica,1,0,0,15,15,0.0,0.4568,0.0011
Podocerus Variegatus,1,0,0,15,15,0.0,0.4568,0.0011
Tritaeta Gibbosa,1,0,0,15,15,0.0,0.4568,0.0011
Cheirocratus Sundevalli,1,0,0,15,15,0.0,0.4568,0.0011
Leptocheirus Pectinatus,1,0,0,15,15,0.0,0.4568,0.0011
Leptocheirus Tricristatus,1,0,0,15,15,0.0,0.4568,0.0011
Melita Palmata,1,0,0,15,15,0.0,0.4568,0.0011
Ampelisca Brevicornis,1,0,0,17,17,0.0,0.4606,0.0011
Leptocheirus Hirsutimanus,1,0,0,15,15,0.0,0.4568,0.0011
Leucothoe Incisa,1,0,0,15,15,0.0,0.4568,0.0011
Leucothoe Lilljeborgi,1,0,0,15,15,0.0,0.4568,0.0011
Metaphoxus Fultoni,1,0,0,15,15,0.0,0.4568,0.0011
Orchestia Gammarellus,1,0,0,15,15,0.0,0.4568,0.0011
Orchestia Mediterranea,1,0,0,15,15,0.0,0.4568,0.0011
Hyale Stebbingi,1,0,0,15,15,0.0,0.4568,0.0011
Corophium Bonnellii,1,0,0,15,15,0.0,0.4568,0.0011
Corophium Sextonae,1,0,0,15,15,0.0,0.4568,0.0011
Orchomene Nana,1,0,0,15,15,0.0,0.4568,0.0011
Stenothoe Monoculoides,1,0,0,15,15,0.0,0.4568,0.0011
Amphilochus Neopolitanus,1,0,0,15,15,0.0,0.4568,0.0011
Microdeutopus Chelifer,1,0,0,15,15,0.0,0.4568,0.0011
Apherusa Bispinosa,1,0,0,15,15,0.0,0.4568,0.0011
Hyale Perieri,1,0,0,16,16,0.0,0.4574,0.0011
Hyale Pontica,1,0,0,16,16,0.0,0.4574,0.0011
Jassa Marmorata,1,0,0,16,16,0.0,0.4574,0.0011
Microjassa Cumbrensis,1,0,0,15,15,0.0,0.4568,0.0011
Liljeborgia Kinahani,1,0,0,15,15,0.0,0.4568,0.0011
Orchomene Humilis,1,0,0,15,15,0.0,0.4568,0.0011
Tryphosella Sarsi,1,0,0,15,15,0.0,0.4568,0.0011
Melita Hergensis,1,0,0,15,15,0.0,0.4568,0.0011
Stenula Rubrovittata,1,0,0,15,15,0.0,0.4568,0.0011
Ampelisca Diadema,1,0,0,15,15,0.0,0.4568,0.0011
Urothoe Elegans,1,0,0,15,15,0.0,0.4568,0.0011
Caprella Acanthifera,1,0,0,15,15,0.0,0.4568,0.0011
