Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Keratella Testudo,1,0,2,10,12,6.23,0.3965,0.0005
Daphnia Longiremis,1,0,36,11,47,132.28,0.4201,0.0022
Spondylosium Planum,1,0,0,8,8,0.0,0.3366,0.0005
Chrysosphaerella Longispina,1,0,0,9,9,0.0,0.337,0.0005
Dictyosphaerium Pulchellum,1,0,0,9,9,0.0,0.337,0.0005
Polyarthra Euryptera,1,0,2,19,21,7.38,0.3984,0.0005
Crucigenia Quadrata,1,0,0,9,9,0.0,0.3372,0.0005
Colletheca Mutabilis,1,0,3,21,24,22.59,0.416,0.0006
Salvelinus Namaycush,1,0,20,5,25,82.04,0.3736,0.0356
Salvelinus Fontinalis Small,1,0,15,4,19,108.39,0.3941,0.0307
Salvelinus Fontinalis Large,1,0,15,4,19,108.39,0.3941,0.0307
Asterionella Formosa,1,0,0,15,15,0.0,0.3499,0.0005
Alona Costata,1,0,5,32,37,323.81,0.4424,0.0007
Trichocerca Pusilla,1,0,2,15,17,8.7,0.3888,0.0005
Rhizosolenia Eriensis,1,0,0,7,7,0.0,0.3362,0.0005
Daphnia Dubia,1,0,25,5,30,36.6,0.38,0.0016
Daphnia Retrocurva,1,0,32,29,61,1349.53,0.4555,0.0019
Crucigenia Crucifera,1,0,0,7,7,0.0,0.3364,0.0005
Crucigenia Rectangularis,1,0,0,9,9,0.0,0.3372,0.0005
Anacystis Incerta,1,0,0,7,7,0.0,0.3362,0.0005
Luxilus Cornutus,1,0,127,5,132,391.33,0.4545,0.0042
Trichotria Tetractis,1,0,2,11,13,4.66,0.3842,0.0005
Diaptomus Leptopus,1,0,24,7,31,753.65,0.3751,0.0016
Alona Quadrangularis,1,0,2,6,8,22.8,0.3641,0.0005
Conochiloides Hippocrepis,1,0,2,4,6,2.07,0.3657,0.0005
Perca Flavescens,1,0,47,7,54,199.62,0.4157,0.0042
Keratella Serrulata,1,0,2,11,13,4.66,0.3842,0.0005
Coelastrum Cambricum,1,0,0,4,4,0.0,0.3108,0.0005
Diaptomus Sicilis,1,0,28,11,39,1014.15,0.3906,0.0018
Daphnia Ambigua,1,0,2,14,16,4.93,0.4003,0.0005
Daphnia Parvula,1,0,2,11,13,4.66,0.3842,0.0005
Eucyclops Agilis,1,0,88,111,199,4176.79,0.5402,0.0028
Ambloplites Rupestris,1,0,24,0,24,0.0,0.3837,0.002
Fragilaria Crotonensis,1,0,0,9,9,0.0,0.3472,0.0005
Daphnia Galeata,1,0,31,11,42,115.66,0.4171,0.002
Tabellaria Flocculosa,1,0,0,14,14,0.0,0.3495,0.0005
Fundulus Diaphanus,1,0,188,3,191,1175.5,0.5271,0.0049
Pimephales Notatus,1,0,0,6,6,0.0,0.2993,0.0005
Peridinium Cinctum,1,0,0,9,9,0.0,0.3701,0.0005
Cyclops Scutifer,1,0,36,13,49,15.29,0.4229,0.0022
Cyclops Bicuspidatus,1,0,78,111,189,2614.39,0.5353,0.0024
Polyphemus Pediculus,1,0,5,2,7,0.54,0.3413,0.0011
Acroperus Harpae,1,0,2,3,5,11.65,0.3632,0.0005
Alona Rectangula,1,0,4,5,9,79.26,0.3678,0.0007
Dinobryon Divergens,1,0,0,6,6,0.0,0.336,0.0005
Sida Crystallina,1,0,3,23,26,108.74,0.43,0.0008
Xanthidium Armatum,1,0,0,1,1,0.0,0.3083,0.0005
Fragilaria Intermedia,1,0,0,2,2,0.0,0.3337,0.0005
Staurastrum Megacanthum,1,0,0,4,4,0.0,0.313,0.0005
Arthrodesmus Octocornis,1,0,0,2,2,0.0,0.3101,0.0005
