autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
190,predacious,Emberiza Schoeniclus,species,Pirata Piscatorius,species,"Switzerland, Lake Neuchatel",flying,walking
192,predacious,Emberiza Schoeniclus,species,Trachelipus Rathkei,species,"Switzerland, Lake Neuchatel",flying,walking
203,predacious,Emberiza Schoeniclus,species,Pisaura Mirabilis,species,"Switzerland, Lake Neuchatel",flying,walking
204,predacious,Conocephalus Dorsalis,species,Chrysotus Cilipes,species,"Switzerland, Lake Neuchatel",walking,flying
206,predacious,Conocephalus Dorsalis,species,Teuchophorus Calcaratus,species,"Switzerland, Lake Neuchatel",walking,flying
212,predacious,Somatochlora Flavomaculata,species,Muscidae Copro,species,"Switzerland, Lake Neuchatel",flying,flying
214,predacious,Somatochlora Flavomaculata,species,Muscidae Flor,species,"Switzerland, Lake Neuchatel",flying,flying
217,predacious,Larinioides Cornutus,species,Cloeon Simile,species,"Switzerland, Lake Neuchatel",walking,flying
218,predacious,Emberiza Schoeniclus,species,Conocephalus Dorsalis,species,"Switzerland, Lake Neuchatel",flying,walking
219,predacious,Somatochlora Flavomaculata,species,Chaetocnema Confusa,species,"Switzerland, Lake Neuchatel",flying,walking
225,predacious,Somatochlora Flavomaculata,species,Herina Parva,species,"Switzerland, Lake Neuchatel",flying,flying
233,predacious,Somatochlora Flavomaculata,species,Pelochares Versicolor,species,"Switzerland, Lake Neuchatel",flying,walking
236,predacious,Somatochlora Flavomaculata,species,Herina Frondescentiae,species,"Switzerland, Lake Neuchatel",flying,flying
240,predacious,Somatochlora Flavomaculata,species,Hercostomus Assimilis,species,"Switzerland, Lake Neuchatel",flying,flying
272,predacious,Emberiza Schoeniclus,species,Larinioides Cornutus,species,"Switzerland, Lake Neuchatel",flying,walking
274,predacious,Somatochlora Flavomaculata,species,Ilione Lineata,species,"Switzerland, Lake Neuchatel",flying,flying
277,predacious,Pisaura Mirabilis,species,Cloeon Simile,species,"Switzerland, Lake Neuchatel",walking,flying
283,predacious,Somatochlora Flavomaculata,species,Trypoxylon Attenuatum,species,"Switzerland, Lake Neuchatel",flying,flying
289,predacious,Propylaea Quatuordecimpunctata,species,Acari Phyto,species,"Switzerland, Lake Neuchatel",walking,walking
290,predacious,Propylaea Quatuordecimpunctata,species,Acari Pred,species,"Switzerland, Lake Neuchatel",walking,walking
292,predacious,Larinioides Cornutus,species,Hercostomus Assimilis,species,"Switzerland, Lake Neuchatel",walking,flying
302,predacious,Conocephalus Dorsalis,species,Argyra Vestita,species,"Switzerland, Lake Neuchatel",walking,flying
