autoID,interaction.type,con.taxonomy,con.taxonomy.level,res.taxonomy,res.taxonomy.level,geographic.location,con.movement.type,res.movement.type
148786,predacious,Leiostomus Xanthurus,species,Melita Appendiculata,species,USA,swimming,swimming
148787,predacious,Leiostomus Xanthurus,species,Rudilemboides Naglei,species,USA,swimming,swimming
148788,predacious,Leiostomus Xanthurus,species,Stenothoe Minuta,species,USA,swimming,swimming
148789,predacious,Leiostomus Xanthurus,species,Pleusymtes Glaber,species,USA,swimming,swimming
148790,predacious,Leiostomus Xanthurus,species,Mysidopsis Bigelowi,species,USA,swimming,swimming
148791,predacious,Leiostomus Xanthurus,species,Acartia Tonsa,species,USA,swimming,swimming
148792,predacious,Leiostomus Xanthurus,species,Acartia Hudsonica,species,USA,swimming,swimming
148793,predacious,Leiostomus Xanthurus,species,Oithona Colcarva,species,USA,swimming,swimming
148794,predacious,Leiostomus Xanthurus,species,Apocorophium Lacustre,species,USA,swimming,swimming
148795,predacious,Leiostomus Xanthurus,species,Monocorophium Insidiosum,species,USA,swimming,swimming
148796,predacious,Leiostomus Xanthurus,species,Gammarus Fasciatus,species,USA,swimming,swimming
148797,predacious,Leiostomus Xanthurus,species,Gammarus Daiberi,species,USA,swimming,swimming
148798,predacious,Leiostomus Xanthurus,species,Gammarus Tigrinus,species,USA,swimming,swimming
148799,predacious,Leiostomus Xanthurus,species,Hyalella Azteca,species,USA,swimming,swimming
148800,predacious,Leiostomus Xanthurus,species,Lembos Smithi,species,USA,swimming,swimming
148801,predacious,Leiostomus Xanthurus,species,Lepidactylus Dytiscus,species,USA,swimming,swimming
148802,predacious,Leiostomus Xanthurus,species,Leptocheirus Plumulosus,species,USA,swimming,walking
148803,predacious,Leiostomus Xanthurus,species,Marinogammarus Stoerensis,species,USA,swimming,swimming
148804,predacious,Leiostomus Xanthurus,species,Melita Nitida,species,USA,swimming,swimming
148805,predacious,Leiostomus Xanthurus,species,Microprotopus Raneyi,species,USA,swimming,swimming
148806,predacious,Leiostomus Xanthurus,species,Monoculodes Edwardsi,species,USA,swimming,swimming
148807,predacious,Leiostomus Xanthurus,species,Paracaprella Tenuis,species,USA,swimming,swimming
148808,predacious,Leiostomus Xanthurus,species,Photis Reinhardi,species,USA,swimming,swimming
148809,predacious,Leiostomus Xanthurus,species,Podoceropsis Nitida,species,USA,swimming,swimming
148810,predacious,Leiostomus Xanthurus,species,Siphonoecetes Smithianus,species,USA,swimming,swimming
148811,predacious,Leiostomus Xanthurus,species,Unciola Irrorata,species,USA,swimming,swimming
148812,predacious,Leiostomus Xanthurus,species,Metridia Princeps,species,USA,swimming,swimming
148813,predacious,Leiostomus Xanthurus,species,Tortanus Discaudatus,species,USA,swimming,swimming
148814,predacious,Leiostomus Xanthurus,species,Diacyclops Thomasi,species,USA,swimming,swimming
148815,predacious,Leiostomus Xanthurus,species,Ectocyclops Phaleratus,species,USA,swimming,swimming
148816,predacious,Leiostomus Xanthurus,species,Acetes Americanus,species,USA,swimming,swimming
148817,predacious,Leiostomus Xanthurus,species,Canuella Elongata,species,USA,swimming,swimming
148818,predacious,Leiostomus Xanthurus,species,Clytemnestra Rostrata,species,USA,swimming,swimming
148819,predacious,Leiostomus Xanthurus,species,Diosaccus Tenuicornis,species,USA,swimming,swimming
148820,predacious,Leiostomus Xanthurus,species,Paralaophonte Brevirostris,species,USA,swimming,swimming
148821,predacious,Leiostomus Xanthurus,species,Robertsonia Chesapeakensis,species,USA,swimming,swimming
148822,predacious,Leiostomus Xanthurus,species,Zausodes Arenicolus,species,USA,swimming,swimming
148823,predacious,Leiostomus Xanthurus,species,Bowmaniella Dissimilis,species,USA,swimming,swimming
148824,predacious,Leiostomus Xanthurus,species,Heteromysis Formosa,species,USA,swimming,swimming
148826,predacious,Leiostomus Xanthurus,species,Neomysis Americana,species,USA,swimming,swimming
148827,predacious,Leiostomus Xanthurus,species,Ergasilus Versicolor,species,USA,swimming,swimming
148828,predacious,Leiostomus Xanthurus,species,Myicola Major,species,USA,swimming,swimming
148833,predacious,Leiostomus Xanthurus,species,Bittiolum Varium,species,USA,swimming,walking
148834,predacious,Leiostomus Xanthurus,species,Macoma Balthica,species,USA,swimming,sessile
148835,predacious,Leiostomus Xanthurus,species,Cyanea Capillata,species,USA,swimming,swimming
148836,predacious,Leiostomus Xanthurus,species,Eteone Heteropoda,species,USA,swimming,walking
148837,predacious,Leiostomus Xanthurus,species,Heteromastus Filiformis,species,USA,swimming,sessile
148838,predacious,Leiostomus Xanthurus,species,Nereis Succinea,species,USA,swimming,walking
148839,predacious,Leiostomus Xanthurus,species,Micrura Leidyi,species,USA,swimming,swimming
148840,predacious,Leiostomus Xanthurus,species,Carinoma Tremaphorus,species,USA,swimming,walking
148842,predacious,Lepisosteus Osseus,species,Palaemonetes Pugio,species,USA,swimming,swimming
148843,predacious,Lepisosteus Osseus,species,Centropages Hamatus,species,USA,swimming,swimming
148844,predacious,Lepisosteus Osseus,species,Centropages Furcatus,species,USA,swimming,swimming
148846,predacious,Lepisosteus Osseus,species,Eucalanus Pileatus,species,USA,swimming,swimming
148847,predacious,Lepisosteus Osseus,species,Eurytemora Affinis,species,USA,swimming,swimming
148848,predacious,Lepisosteus Osseus,species,Eurytemora Americana,species,USA,swimming,swimming
148849,predacious,Lepisosteus Osseus,species,Labidocera Aestiva,species,USA,swimming,swimming
148850,predacious,Lepisosteus Osseus,species,Labidocera Wollastoni,species,USA,swimming,swimming
148852,predacious,Lepisosteus Osseus,species,Paracalanus Crassirostris,species,USA,swimming,swimming
148853,predacious,Lepisosteus Osseus,species,Paracalanus Indicus,species,USA,swimming,swimming
148854,predacious,Lepisosteus Osseus,species,Pontella Meadi,species,USA,swimming,swimming
148855,predacious,Lepisosteus Osseus,species,Pontella Pennata,species,USA,swimming,swimming
148856,predacious,Lepisosteus Osseus,species,Pseudodiaptomus Coronatus,species,USA,swimming,swimming
148857,predacious,Lepisosteus Osseus,species,Rhincalanus Nasutus,species,USA,swimming,swimming
148858,predacious,Lepisosteus Osseus,species,Temora Longicornis,species,USA,swimming,swimming
148859,predacious,Lepisosteus Osseus,species,Temora Turbinata,species,USA,swimming,swimming
148860,predacious,Lepisosteus Osseus,species,Temora Stylifera,species,USA,swimming,swimming
148861,predacious,Lepisosteus Osseus,species,Acanthocyclops Vernalis,species,USA,swimming,swimming
148862,predacious,Lepisosteus Osseus,species,Cyclops Bicuspidatus,species,USA,swimming,swimming
148863,predacious,Lepisosteus Osseus,species,Cyclops Vernalis,species,USA,swimming,swimming
148864,predacious,Lepisosteus Osseus,species,Eucyclops Agilis,species,USA,swimming,swimming
148865,predacious,Lepisosteus Osseus,species,Halicyclops Magniceps,species,USA,swimming,swimming
148867,predacious,Lepisosteus Osseus,species,Mesocyclops Edax,species,USA,swimming,swimming
148868,predacious,Lepisosteus Osseus,species,Paracyclops Fibriatus,species,USA,swimming,swimming
148869,predacious,Lepisosteus Osseus,species,Alteutha Depressa,species,USA,swimming,swimming
148870,predacious,Lepisosteus Osseus,species,Ectinosoma Compressum,species,USA,swimming,swimming
148871,predacious,Lepisosteus Osseus,species,Euterpina Acutifrons,species,USA,swimming,swimming
148872,predacious,Lepisosteus Osseus,species,Harpacticus Gracilis,species,USA,swimming,swimming
148873,predacious,Lepisosteus Osseus,species,Harpacticus Chelifer,species,USA,swimming,swimming
148875,predacious,Lepisosteus Osseus,species,Scottolana Canadensis,species,USA,swimming,swimming
148876,predacious,Lepisosteus Osseus,species,Tisbe Furcata,species,USA,swimming,swimming
148877,predacious,Lepisosteus Osseus,species,Corycaeus Venustus,species,USA,swimming,swimming
148878,predacious,Lepisosteus Osseus,species,Corycaeus Amazonicus,species,USA,swimming,swimming
148879,predacious,Lepisosteus Osseus,species,Corycaeus Speciosus,species,USA,swimming,swimming
148880,predacious,Lepisosteus Osseus,species,Farranula Gracilis,species,USA,swimming,swimming
148881,predacious,Lepisosteus Osseus,species,Palaemonetes Intermedius,species,USA,swimming,swimming
148882,predacious,Lepisosteus Osseus,species,Palaemonetes Vulgaris,species,USA,swimming,swimming
148883,predacious,Lepisosteus Osseus,species,Callinectes Sapidus,species,USA,swimming,walking
148884,predacious,Lepisosteus Osseus,species,Stenothoe Minuta,species,USA,swimming,swimming
148885,predacious,Lepisosteus Osseus,species,Pleusymtes Glaber,species,USA,swimming,swimming
148886,predacious,Lepisosteus Osseus,species,Acartia Tonsa,species,USA,swimming,swimming
148887,predacious,Lepisosteus Osseus,species,Acartia Hudsonica,species,USA,swimming,swimming
148888,predacious,Lepisosteus Osseus,species,Oithona Colcarva,species,USA,swimming,swimming
148889,predacious,Lepisosteus Osseus,species,Siphonoecetes Smithianus,species,USA,swimming,swimming
148890,predacious,Lepisosteus Osseus,species,Metridia Princeps,species,USA,swimming,swimming
148891,predacious,Lepisosteus Osseus,species,Tortanus Discaudatus,species,USA,swimming,swimming
148892,predacious,Lepisosteus Osseus,species,Diacyclops Thomasi,species,USA,swimming,swimming
148893,predacious,Lepisosteus Osseus,species,Ectocyclops Phaleratus,species,USA,swimming,swimming
148894,predacious,Leiostomus Xanthurus,species,Caprella Penantis,species,USA,swimming,swimming
148895,predacious,Lepisosteus Osseus,species,Acetes Americanus,species,USA,swimming,swimming
148896,predacious,Lepisosteus Osseus,species,Canuella Elongata,species,USA,swimming,swimming
148897,predacious,Lepisosteus Osseus,species,Clytemnestra Rostrata,species,USA,swimming,swimming
148898,predacious,Lepisosteus Osseus,species,Diosaccus Tenuicornis,species,USA,swimming,swimming
148899,predacious,Lepisosteus Osseus,species,Paralaophonte Brevirostris,species,USA,swimming,swimming
148900,predacious,Lepisosteus Osseus,species,Robertsonia Chesapeakensis,species,USA,swimming,swimming
148901,predacious,Lepisosteus Osseus,species,Zausodes Arenicolus,species,USA,swimming,swimming
148902,predacious,Lepisosteus Osseus,species,Ergasilus Versicolor,species,USA,swimming,swimming
148903,predacious,Lepisosteus Osseus,species,Myicola Major,species,USA,swimming,swimming
148908,predacious,Lepisosteus Osseus,species,Anchoa Mitchilli,species,USA,swimming,swimming
148909,predacious,Lepisosteus Osseus,species,Brevoortia Tyrannus,species,USA,swimming,swimming
148913,predacious,Lepomis Auritus,species,Daphnia Pulex,species,USA,swimming,swimming
148914,predacious,Lepomis Auritus,species,Pseudodiaptomus Coronatus,species,USA,swimming,swimming
148915,predacious,Lepomis Auritus,species,Rhincalanus Nasutus,species,USA,swimming,swimming
148916,predacious,Lepomis Auritus,species,Temora Longicornis,species,USA,swimming,swimming
148917,predacious,Lepomis Auritus,species,Temora Turbinata,species,USA,swimming,swimming
148918,predacious,Lepomis Auritus,species,Temora Stylifera,species,USA,swimming,swimming
148919,predacious,Lepomis Auritus,species,Tisbe Furcata,species,USA,swimming,swimming
148920,predacious,Lepomis Auritus,species,Leptodora Kindtii,species,USA,swimming,swimming
148921,predacious,Lepomis Auritus,species,Stenothoe Minuta,species,USA,swimming,swimming
148922,predacious,Lepomis Auritus,species,Pleusymtes Glaber,species,USA,swimming,swimming
148923,predacious,Lepomis Auritus,species,Hyalella Azteca,species,USA,swimming,swimming
148924,predacious,Lepomis Auritus,species,Siphonoecetes Smithianus,species,USA,swimming,swimming
148925,predacious,Lepomis Auritus,species,Portunus Gibbesii,species,USA,swimming,walking
148927,predacious,Lepomis Auritus,species,Tropocyclops Prasinus,species,USA,swimming,swimming
148931,predacious,Lepomis Gibbosus,species,Daphnia Pulex,species,USA,swimming,swimming
148932,predacious,Lepomis Gibbosus,species,Leptodora Kindtii,species,USA,swimming,swimming
148933,predacious,Lepomis Gibbosus,species,Hyalella Azteca,species,USA,swimming,swimming
148934,predacious,Lepomis Gibbosus,species,Tropocyclops Prasinus,species,USA,swimming,swimming
148941,predacious,Lepomis Macrochirus,species,Daphnia Lumholtzi,species,USA,swimming,swimming
148942,predacious,Lepomis Macrochirus,species,Daphnia Pulex,species,USA,swimming,swimming
148943,predacious,Lepomis Macrochirus,species,Daphnia Retrocurva,species,USA,swimming,swimming
148944,predacious,Lepomis Macrochirus,species,Cyclops Vernalis,species,USA,swimming,swimming
148945,predacious,Lepomis Macrochirus,species,Ampelisca Verrilli,species,USA,swimming,swimming
148946,predacious,Lepomis Macrochirus,species,Ampelisca Vadorum,species,USA,swimming,swimming
148947,predacious,Lepomis Macrochirus,species,Ampithoe Longimana,species,USA,swimming,walking
148948,predacious,Lepomis Macrochirus,species,Batea Catharinensis,species,USA,swimming,swimming
148949,predacious,Lepomis Macrochirus,species,Caprella Penantis,species,USA,swimming,swimming
148950,predacious,Lepomis Macrochirus,species,Cerapus Tubularis,species,USA,swimming,swimming
148951,predacious,Lepomis Macrochirus,species,Corophium Tuberculatum,species,USA,swimming,swimming
148952,predacious,Lepomis Macrochirus,species,Cymadusa Compta,species,USA,swimming,swimming
148953,predacious,Lepomis Macrochirus,species,Elasmopus Levis,species,USA,swimming,swimming
148954,predacious,Lepomis Macrochirus,species,Gammarus Mucronatus,species,USA,swimming,swimming
148955,predacious,Lepomis Macrochirus,species,Jassa Falcata,species,USA,swimming,swimming
148956,predacious,Lepomis Macrochirus,species,Melita Appendiculata,species,USA,swimming,swimming
148957,predacious,Lepomis Macrochirus,species,Rudilemboides Naglei,species,USA,swimming,swimming
148958,predacious,Lepomis Macrochirus,species,Stenothoe Minuta,species,USA,swimming,swimming
148959,predacious,Lepomis Macrochirus,species,Pleusymtes Glaber,species,USA,swimming,swimming
148960,predacious,Lepomis Macrochirus,species,Apocorophium Lacustre,species,USA,swimming,swimming
148961,predacious,Lepomis Macrochirus,species,Monocorophium Insidiosum,species,USA,swimming,swimming
148962,predacious,Lepomis Macrochirus,species,Gammarus Fasciatus,species,USA,swimming,swimming
148963,predacious,Lepomis Macrochirus,species,Gammarus Daiberi,species,USA,swimming,swimming
148964,predacious,Lepomis Macrochirus,species,Gammarus Tigrinus,species,USA,swimming,swimming
148965,predacious,Lepomis Macrochirus,species,Hyalella Azteca,species,USA,swimming,swimming
148966,predacious,Lepomis Macrochirus,species,Lembos Smithi,species,USA,swimming,swimming
148967,predacious,Lepomis Macrochirus,species,Lepidactylus Dytiscus,species,USA,swimming,swimming
148968,predacious,Lepomis Macrochirus,species,Leptocheirus Plumulosus,species,USA,swimming,walking
148969,predacious,Lepomis Macrochirus,species,Marinogammarus Stoerensis,species,USA,swimming,swimming
148970,predacious,Lepomis Macrochirus,species,Melita Nitida,species,USA,swimming,swimming
148971,predacious,Lepomis Macrochirus,species,Microprotopus Raneyi,species,USA,swimming,swimming
148972,predacious,Lepomis Macrochirus,species,Monoculodes Edwardsi,species,USA,swimming,swimming
148973,predacious,Lepomis Macrochirus,species,Paracaprella Tenuis,species,USA,swimming,swimming
148974,predacious,Lepomis Macrochirus,species,Photis Reinhardi,species,USA,swimming,swimming
148975,predacious,Lepomis Macrochirus,species,Podoceropsis Nitida,species,USA,swimming,swimming
148976,predacious,Lepomis Macrochirus,species,Siphonoecetes Smithianus,species,USA,swimming,swimming
148977,predacious,Lepomis Macrochirus,species,Unciola Irrorata,species,USA,swimming,swimming
148978,predacious,Lepomis Macrochirus,species,Bosmina Longirostris,species,USA,swimming,swimming
148979,predacious,Lepomis Macrochirus,species,Acteocina Canaliculata,species,USA,swimming,walking
148980,predacious,Lepomis Macrochirus,species,Acteon Punctostriatus,species,USA,swimming,walking
148981,predacious,Lepomis Macrochirus,species,Bittiolum Varium,species,USA,swimming,walking
148982,predacious,Lepomis Macrochirus,species,Chaetopleura Apiculata,species,USA,swimming,walking
148983,predacious,Lepomis Macrochirus,species,Clione Limacina,species,USA,swimming,swimming
148984,predacious,Lepomis Macrochirus,species,Cratena Pilata,species,USA,swimming,walking
148985,predacious,Lepomis Macrochirus,species,Crepidula Convexa,species,USA,swimming,walking
148986,predacious,Lepomis Macrochirus,species,Crepidula Fornicata,species,USA,swimming,walking
148987,predacious,Lepomis Macrochirus,species,Doridella Obscura,species,USA,swimming,walking
148988,predacious,Lepomis Macrochirus,species,Doris Verrucosa,species,USA,swimming,walking
