Espécie,Extinções Totais,Extinções Secundárias,Grau Entrada,Grau Saída,Grau Total,Betweenness,Closeness,PageRank
Achnanthes Lanceolata,1,0,0,2,2,0.0,0.4086,0.0037
Olinga Feredayii,1,0,16,2,18,5.35,0.4412,0.0059
Anguila Diffenbachii,1,0,6,0,6,0.0,0.4086,0.0143
Archicauliodes Diversus,1,0,0,1,1,0.0,0.3608,0.0037
Rhopalodia Novae Zelandiae,1,0,0,8,8,0.0,0.4626,0.0037
Navicula Bicephala,1,0,0,1,1,0.0,0.3172,0.0037
Acnanthidium Lanceoloata,1,0,0,6,6,0.0,0.443,0.0037
Cyclotella Stelligera,1,0,0,7,7,0.0,0.4545,0.0037
Epithemia Turgida,1,0,0,3,3,0.0,0.4183,0.0037
Eunotia Miesteri,1,0,0,2,2,0.0,0.3962,0.0037
Gomphonema Constrictum,1,0,0,3,3,0.0,0.3977,0.0037
Gyrosigma Spencerii,1,0,0,1,1,0.0,0.3777,0.0037
Navicula Gregaria,1,0,0,2,2,0.0,0.3962,0.0037
Navicula Mutica,1,0,0,3,3,0.0,0.4134,0.0037
Pinnularia Viridis,1,0,0,4,4,0.0,0.4286,0.0037
Eunotia Pectinalis,1,0,0,1,1,0.0,0.3621,0.0037
Fragilaria Brevistriata,1,0,0,5,5,0.0,0.4183,0.0037
Hydraena Homolaena,1,0,19,0,19,0.0,0.4234,0.0089
Navicula Hungarica,1,0,0,1,1,0.0,0.3646,0.0037
